Source Node	Target Node	Interaction Type
Rangap1	UBE2I	Undirected
MAP3K7IP1	MAP3K7IP2	Undirected
ACVRL1	ENG	Undirected
ACVRL1	TGFB1	Undirected
RPL30	MAP3K1	Undirected
RPL30	MAP3K14	Undirected
CHUK	NFKBIA	Undirected
CHUK	NFKB2	Undirected
CHUK	NFKBIE	Undirected
CHUK	NFKB1	Undirected
CHUK	RELA	Undirected
CHUK	CDC37	Undirected
CHUK	HSP90AA1	Undirected
CHUK	SMAD2	Undirected
NFKB1	NFKBIA	Undirected
NFKB1	REL	Undirected
NFKB1	IKBKG	Undirected
NFKB1	NFKB2	Undirected
NFKB1	MAP3K8	Undirected
NFKB1	RELB	Undirected
NFKB1	KPNA3	Undirected
NFKB1	NFKBIE	Undirected
NFKB1	CHUK	Undirected
NFKB1	NFKBIB	Undirected
FEN1	PCNA	Undirected
MCM5	NFKBIA	Undirected
HOXB1	Pbx1	Undirected
MAP3K7	MAP3K7IP1	Undirected
MAP3K7	MAP3K7IP2	Undirected
FGFR4	FGF2	Undirected
FGFR4	FGF19	Undirected
IL5RA	IL5	Undirected
MYOD1	MYOD1	Undirected
MYOD1	RBL2	Undirected
MYOD1	TCF3	Undirected
PGR	PIAS1	Undirected
PGR	PIAS3	Undirected
PGR	Pias2	Undirected
PGR	Hmgb2	Undirected
PGR	UBE3A	Undirected
Cbx2	Bmi1	Undirected
Cbx2	Cbx2	Undirected
IL12A	IL12RB1	Undirected
Il4ra	Il13ra1	Undirected
Cdkn1a	Cdk4	Undirected
Cdkn1a	Cdk2	Undirected
