 	Source Node    	Target Node    	Interaction Source	Interaction Type	PubMed	Mechanism	Edge Color	
 	LYG1           	CD180          	                  	Directed        	      	         	          	
 	LYG1           	UNC84B         	                  	Directed        	      	         	          	
 	LYG1           	DLL1           	                  	Directed        	      	         	          	
 	LYG1           	338758         	                  	Directed        	      	         	          	
 	LYG1           	ASCC1          	                  	Directed        	      	         	          	
 	TNFRSF10B      	RUNX3          	                  	Directed        	      	         	          	
 	CYYR1          	PTPRB          	                  	Directed        	      	         	          	
 	Contig47146_RC 	AK027848       	                  	Directed        	      	         	          	
 	TMEM16C        	MYH10          	                  	Directed        	      	         	          	
 	TMEM16C        	DGKB           	                  	Directed        	      	         	          	
 	TMEM16C        	TTC9           	                  	Directed        	      	         	          	
 	THRB           	HSG00420853    	                  	Directed        	      	         	          	
 	THRB           	SLC27A2        	                  	Directed        	      	         	          	
 	THRB           	RIMBP2         	                  	Directed        	      	         	          	
 	THRB           	PTPN3          	                  	Directed        	      	         	          	
 	THRB           	Contig54961_RC 	                  	Directed        	      	         	          	
 	THRB           	hCT2329700     	                  	Directed        	      	         	          	
 	THRB           	Contig37371_RC 	                  	Directed        	      	         	          	
 	THRB           	FAM78B         	                  	Directed        	      	         	          	
 	ENST00000295393	NDUFV2         	                  	Directed        	      	         	          	
 	ENST00000295393	HSG00297085    	                  	Directed        	      	         	          	
 	ENST00000295393	343384         	                  	Directed        	      	         	          	
 	ENST00000295393	ENST00000275563	                  	Directed        	      	         	          	
 	ENST00000295393	HSG00359281    	                  	Directed        	      	         	          	
 	AL832567       	285150         	                  	Directed        	      	         	          	
 	AL832567       	AF070602       	                  	Directed        	      	         	          	
 	FRMPD4         	P2RX6P         	                  	Directed        	      	         	          	
 	FRMPD4         	FAM110C        	                  	Directed        	      	         	          	
 	FRMPD4         	hCT1971265     	                  	Directed        	      	         	          	
 	STMN2          	hCT1829585.2   	                  	Directed        	      	         	          	
 	STMN2          	PDE1A          	                  	Directed        	      	         	          	
 	STMN2          	TAGLN3         	                  	Directed        	      	         	          	
 	STMN2          	PANX1          	                  	Directed        	      	         	          	
 	Contig33039_RC 	Contig20953_RC 	                  	Directed        	      	         	          	
 	P2RY14         	RGS5           	                  	Directed        	      	         	          	
 	P2RY14         	TMEM204        	                  	Directed        	      	         	          	
 	HSP90AA1       	PTGES3         	                  	Directed        	      	         	          	
 	HSP90AA1       	HSPD1          	                  	Directed        	      	         	          	
 	HSP90AA1       	DNAJA1         	                  	Directed        	      	         	          	
 	HSP90AA1       	HSP90AA2       	                  	Directed        	      	         	          	
 	HSP90AA1       	HSP90AA5P      	                  	Directed        	      	         	          	
 	HSP90AA1       	hCT1639942.2   	                  	Directed        	      	         	          	
 	HSP90AA1       	CUEDC1         	                  	Directed        	      	         	          	
 	HSP90AA1       	AK000932       	                  	Directed        	      	         	          	
 	PARP12         	MX2            	                  	Directed        	      	         	          	
 	JUNB           	SNF1LK         	                  	Directed        	      	         	          	
 	JUNB           	HES1           	                  	Directed        	      	         	          	
 	JUNB           	DUSP1          	                  	Directed        	      	         	          	
 	DCLK1          	ATP1B1         	                  	Directed        	      	         	          	
 	DCLK1          	DPY19L1        	                  	Directed        	      	         	          	
 	ENSA           	ANXA6          	                  	Directed        	      	         	          	
 	BC040287       	TDRD5          	                  	Directed        	      	         	          	
 	BC040287       	LEPROTL1       	                  	Directed        	      	         	          	
 	C14orf129      	CDC2           	                  	Directed        	      	         	          	
 	C14orf129      	SLC2A3P1       	                  	Directed        	      	         	          	
 	51776          	SLC16A4        	                  	Directed        	      	         	          	
 	EHD3           	Contig47405_RC 	                  	Directed        	      	         	          	
 	TGFB3          	RTKN           	                  	Directed        	      	         	          	
 	TGFB3          	NDRG1          	                  	Directed        	      	         	          	
 	TGFB3          	SLC5A11        	                  	Directed        	      	         	          	
 	TGFB3          	BCAS1          	                  	Directed        	      	         	          	
 	INPP5F         	PLCXD3         	                  	Directed        	      	         	          	
 	KIF26A         	TMEM45B        	                  	Directed        	      	         	          	
 	KIF26A         	GPR124         	                  	Directed        	      	         	          	
 	MAPK6          	BTBD3          	                  	Directed        	      	         	          	
 	MAPK6          	TRIM23         	                  	Directed        	      	         	          	
 	MAPK6          	RPE            	                  	Directed        	      	         	          	
 	MAPK6          	GCC2           	                  	Directed        	      	         	          	
 	MAPK6          	RUFY3          	                  	Directed        	      	         	          	
 	IGF1           	HAPLN1         	                  	Directed        	      	         	          	
 	IGF1           	130576         	                  	Directed        	      	         	          	
 	IGF1           	C5orf23        	                  	Directed        	      	         	          	
 	TGFB2          	TGFB2          	                  	Directed        	      	         	          	
 	TGFB2          	SLC1A3         	                  	Directed        	      	         	          	
 	DDR2           	SLC7A11        	                  	Directed        	      	         	          	
 	SLC6A15        	RAP1GDS1       	                  	Directed        	      	         	          	
 	SLC6A15        	AL832136       	                  	Directed        	      	         	          	
 	SLC6A15        	C1orf128       	                  	Directed        	      	         	          	
 	PLN            	NEXN           	                  	Directed        	      	         	          	
 	PLN            	GATA6          	                  	Directed        	      	         	          	
 	PLN            	FHL5           	                  	Directed        	      	         	          	
 	Contig50520_RC 	AL049990       	                  	Directed        	      	         	          	
 	MRPS6          	LEPREL1        	                  	Directed        	      	         	          	
