Source Node	Target Node	Interaction Type
SMAD9	BAZ1A	Undirected
SMAD9	TBCD	Undirected
SMAD9	MTMR10	Undirected
SMAD9	RMND5A	Undirected
SMAD9	EIF3F	Undirected
SMAD9	TINAGL1	Undirected
SMAD9	FLI1	Undirected
SMAD9	QARS	Undirected
SMAD9	ASH2L	Undirected
SMAD9	SF3B1	Undirected
SMAD9	PABPC4	Undirected
SMAD9	UBE3A	Undirected
SMAD9	TERF1	Undirected
SMAD9	DNAJC7	Undirected
SMAD9	TRIP12	Undirected
SMAD9	ARID1B	Undirected
SMAD9	LMO4	Undirected
SMAD9	YWHAQ	Undirected
SMAD9	FN1	Undirected
SMAD9	PSAP	Undirected
SMAD9	ACTB	Undirected
SMAD9	SMAD2	Undirected
SMAD9	MAN1C1	Undirected
SMAD9	DST	Undirected
SMAD9	PKP2	Undirected
SMAD9	EIF3C	Undirected
SMAD9	GRN	Undirected
SMAD9	RFX1	Undirected
SMAD9	ZSCAN4	Undirected
SMAD9	OTUB1	Undirected
PDCD1	CD274	Undirected
PDCD1	PDCD1LG2	Undirected
Myoc	Olfm3	Undirected
FSHR	CGA	Undirected
FSHR	FSHB	Undirected
DEAF1	DEAF1	Undirected
Slc2a4	Ube2i	Undirected
Hnrnpa1	Tnf	Undirected
Zfp354a	Trim28	Undirected
Eif4ebp2	Eif4e	Undirected
Ckb	Slc12a4	Undirected
RUNX1T1	RUNX1T1	Undirected
Nrip1	Nr2c1	Undirected
Nrip1	Rara	Undirected
RPP21	RPPH1	Undirected
Stk4	PRKRIR	Undirected
Pdcd1lg2	PDCD1	Undirected
AKR7A2	AKR7A2	Undirected
EXOSC3	EXOSC5	Undirected
Sstr2	SHANK1	Undirected
SIX6	TLE1	Undirected
SIX6	AES	Undirected
C1R	C1R	Undirected
CFB	CFB	Undirected
Rbpj	Notch1	Undirected
NFIL3	NFIL3	Undirected
CPA4	CPA4	Undirected
Ncf2	PICK1	Undirected
Hes5	Jak2	Undirected
PPM1D	UNG	Undirected
